date,os_version,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
2015-01-12,Android 2.3,130,0,0,0,96,458,0,0
2015-01-12,Android 2.2,8686,5,1,2,6746,27373,4,2
2015-01-12,Android 2.1,821,1,2,2,685,5544,1,2
2015-01-12,Android 2.0.1,0,0,0,0,0,1,0,0
2015-01-12,Android 2.0,0,0,0,0,0,1,0,0
2015-01-12,Android 1.6,47,0,0,0,39,434,0,0
2015-01-12,Android 1.5,11,0,0,0,9,508,0,0
2015-01-12,22,47,1,0,0,35,43,1,0
2015-01-12,Android 5.0,32995,127,54,9,29138,42630,82,45
2015-01-12,Android 4.4W,26,0,0,0,17,181,0,0
2015-01-12,Android 1.1,0,0,0,0,0,2,0,0
2015-01-12,Android 4.4,217841,1658,684,104,194453,323939,1320,635
2015-01-12,Android 4.3,41848,175,105,27,36039,79656,159,97
2015-01-12,Android 4.2,56189,307,170,42,48252,104531,279,157
2015-01-12,Android 4.1,85657,297,233,62,72650,197731,288,223
2015-01-12,Android 4.0.3 - 4.0.4,46704,89,78,26,37948,119139,78,70
2015-01-12,Android 4.0 - 4.0.2,14,0,0,0,7,61,0,0
2015-01-12,Android 3.2,1740,2,4,0,1476,4419,6,9
2015-01-12,Android 3.1,541,1,0,0,456,1025,0,0
2015-01-12,Android 3.0,27,0,0,0,22,60,0,0
2015-01-12,Android 2.3.3 - 2.3.7,48967,78,100,26,39004,153505,80,96
2015-01-12,Android 1.0,0,0,0,0,0,1,0,0
2015-01-12,0,22,0,1,0,18,220768,0,5
2015-01-11,Android 2.3,130,0,1,0,96,459,0,1
2015-01-11,Android 2.2,8689,6,6,5,6752,27384,6,6
2015-01-11,Android 2.1,823,0,3,1,685,5538,0,3
2015-01-11,Android 2.0.1,0,0,0,0,0,1,0,0
2015-01-11,Android 2.0,0,0,0,0,0,1,0,0
2015-01-11,Android 1.6,47,0,0,0,39,434,0,0
2015-01-11,Android 1.5,11,0,0,0,9,508,0,0
2015-01-11,22,47,0,0,0,35,43,0,0
2015-01-11,Android 5.0,32668,154,75,13,28879,42206,121,66
2015-01-11,Android 4.4W,26,0,0,0,17,181,0,0
2015-01-11,Android 1.1,0,0,0,0,0,2,0,0
2015-01-11,Android 4.4,216946,1470,668,135,193632,322666,1207,620
2015-01-11,Android 4.3,41806,154,102,30,36001,79556,133,98
2015-01-11,Android 4.2,56064,262,188,62,48156,104329,238,183
2015-01-11,Android 4.1,85631,255,203,71,72636,197569,239,196
2015-01-11,Android 4.0.3 - 4.0.4,46682,95,98,30,37936,119110,89,87
2015-01-11,Android 4.0 - 4.0.2,14,0,0,0,7,61,0,0
2015-01-11,Android 3.2,1741,2,1,0,1474,4414,3,5
2015-01-11,Android 3.1,540,1,0,1,455,1024,0,0
2015-01-11,Android 3.0,27,0,0,0,22,60,0,0
2015-01-11,Android 2.3.3 - 2.3.7,48977,64,97,20,39025,153506,61,89
2015-01-11,Android 1.0,0,0,0,0,0,1,0,0
2015-01-11,0,23,0,0,0,19,220659,0,2
2015-01-10,Android 2.3,131,0,1,0,96,459,0,0
2015-01-10,Android 2.2,8685,6,10,2,6748,27385,6,8
2015-01-10,Android 2.1,826,1,0,0,688,5539,1,0
2015-01-10,Android 2.0.1,0,0,0,0,0,1,0,0
2015-01-10,Android 2.0,0,0,0,0,0,1,0,0
2015-01-10,Android 1.6,47,0,0,0,39,434,0,0
2015-01-10,Android 1.5,11,0,0,0,9,506,0,0
2015-01-10,22,47,0,0,0,35,43,0,0
2015-01-10,Android 5.0,32545,129,69,12,28776,42011,88,48
2015-01-10,Android 4.4W,26,0,0,0,17,183,0,0
2015-01-10,Android 1.1,0,0,0,0,0,2,0,0
2015-01-10,Android 4.4,216093,1293,605,123,192837,321295,979,557
2015-01-10,Android 4.3,41781,123,107,33,35980,79475,116,95
2015-01-10,Android 4.2,56000,287,175,46,48097,104160,251,166
2015-01-10,Android 4.1,85606,202,231,97,72615,197454,192,217
2015-01-10,Android 4.0.3 - 4.0.4,46672,82,98,42,37925,119052,68,87
2015-01-10,Android 4.0 - 4.0.2,14,0,0,0,8,62,0,0
2015-01-10,Android 3.2,1740,0,2,3,1473,4410,2,6
2015-01-10,Android 3.1,536,1,3,1,451,1022,1,2
2015-01-10,Android 3.0,27,0,0,0,22,60,0,0
2015-01-10,Android 2.3.3 - 2.3.7,48994,63,105,16,39044,153510,55,96
2015-01-10,Android 1.0,0,0,0,0,0,1,0,0
2015-01-10,0,23,0,0,0,20,220550,0,3
2015-01-09,Android 2.3,132,0,0,1,97,460,0,0
2015-01-09,Android 2.2,8687,3,9,3,6754,27382,2,9
2015-01-09,Android 2.1,825,0,0,0,687,5536,0,0
2015-01-09,Android 2.0.1,0,0,0,0,0,1,0,0
2015-01-09,Android 2.0,0,0,0,0,0,1,0,0
2015-01-09,Android 1.6,47,0,0,0,39,434,0,0
2015-01-09,Android 1.5,11,0,0,0,9,508,0,0
2015-01-09,22,47,0,0,0,35,42,0,0
2015-01-09,Android 5.0,32463,138,61,13,28696,41850,93,54
2015-01-09,Android 4.4W,26,0,0,0,17,183,0,0
2015-01-09,Android 1.1,0,0,0,0,0,2,0,0
2015-01-09,Android 4.4,215390,1352,556,98,192223,320144,1036,508
2015-01-09,Android 4.3,41813,136,96,28,36015,79447,127,77
2015-01-09,Android 4.2,55912,236,158,43,48028,103957,209,150
2015-01-09,Android 4.1,85646,246,222,70,72667,197377,239,206
2015-01-09,Android 4.0.3 - 4.0.4,46706,70,84,46,37958,119036,61,71
2015-01-09,Android 4.0 - 4.0.2,14,0,0,0,8,62,0,0
2015-01-09,Android 3.2,1743,0,3,2,1475,4409,1,4
2015-01-09,Android 3.1,537,2,1,0,453,1023,2,1
2015-01-09,Android 3.0,27,0,0,0,22,60,0,0
2015-01-09,Android 2.3.3 - 2.3.7,49018,67,84,27,39075,153519,62,80
2015-01-09,Android 1.0,0,0,0,0,0,1,0,0
2015-01-09,0,23,0,0,0,20,220422,0,4
2015-01-08,Android 2.3,132,1,0,0,97,460,1,0
2015-01-08,Android 2.2,8686,9,15,0,6756,27392,9,16
2015-01-08,Android 2.1,825,1,2,0,687,5535,1,2
2015-01-08,Android 2.0.1,0,0,0,0,0,1,0,0
2015-01-08,Android 2.0,0,0,0,0,0,1,0,0
2015-01-08,Android 1.6,47,0,0,0,39,432,0,0
2015-01-08,Android 1.5,11,0,0,0,9,505,0,0
2015-01-08,22,47,0,0,0,35,43,0,0
2015-01-08,Android 5.0,32314,137,52,5,28567,41696,95,47
2015-01-08,Android 4.4W,26,0,0,1,17,183,0,0
2015-01-08,Android 1.1,0,0,0,0,0,2,0,0
2015-01-08,Android 4.4,214601,1543,642,143,191520,318928,1204,584
2015-01-08,Android 4.3,41822,157,95,31,36028,79418,141,86
2015-01-08,Android 4.2,55825,248,170,41,47947,103779,219,155
2015-01-08,Android 4.1,85651,278,238,56,72686,197254,264,220
2015-01-08,Android 4.0.3 - 4.0.4,46700,89,71,34,37950,119013,84,63
2015-01-08,Android 4.0 - 4.0.2,14,0,0,0,8,62,0,0
2015-01-08,Android 3.2,1748,0,1,1,1481,4411,0,3
2015-01-08,Android 3.1,535,1,1,1,451,1021,1,1
2015-01-08,Android 3.0,27,0,0,0,22,60,0,0
2015-01-08,Android 2.3.3 - 2.3.7,49025,71,99,23,39084,153520,67,87
2015-01-08,Android 1.0,0,0,0,0,0,1,0,0
2015-01-08,0,23,0,0,0,20,220307,0,2
2015-01-07,Android 2.3,131,0,1,0,96,458,0,1
2015-01-07,Android 2.2,8683,6,21,3,6753,27389,6,20
2015-01-07,Android 2.1,826,1,1,1,690,5537,1,1
2015-01-07,Android 2.0.1,0,0,0,0,0,1,0,0
2015-01-07,Android 2.0,0,0,0,0,0,1,0,0
2015-01-07,Android 1.6,47,0,0,0,39,432,0,0
2015-01-07,Android 1.5,11,0,0,0,9,505,0,0
2015-01-07,22,48,0,0,0,36,44,0,0
2015-01-07,Android 5.0,32142,163,63,25,28447,41561,110,60
2015-01-07,Android 4.4W,26,0,0,0,16,182,0,0
2015-01-07,Android 1.1,0,0,0,0,0,2,0,0
2015-01-07,Android 4.4,213443,1625,627,143,190530,317589,1277,583
2015-01-07,Android 4.3,41713,144,93,40,35946,79289,125,84
2015-01-07,Android 4.2,55680,305,157,42,47829,103556,277,145
2015-01-07,Android 4.1,85532,298,217,70,72633,197067,275,208
2015-01-07,Android 4.0.3 - 4.0.4,46649,91,83,44,37911,118944,83,73
2015-01-07,Android 4.0 - 4.0.2,14,0,0,0,8,62,0,0
2015-01-07,Android 3.2,1747,1,4,2,1482,4412,3,2
2015-01-07,Android 3.1,535,0,0,0,451,1021,0,0
